team,ppg,opp_ppg,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,games,win_pct
A&M-Corpus Christi,72.5,67.7,45.71,35.64,67.69,36.09,13.4,13.2,1.01,33,54.5
Abilene Christian,70.3,72.4,43.75,31.34,70.45,31.73,13.3,14.3,0.93,33,42.4
Air Force,61.5,79.9,42.52,30.56,64.11,29.09,12.2,14.8,0.82,32,9.4
Akron,88.4,73.5,50.25,37.9,75.37,38.06,18.4,10.9,1.69,34,85.3
Alabama,91.7,83.5,45.78,35.81,76.53,40.62,16.1,9.8,1.65,32,71.9
Alabama A&M,72.1,72.5,43.6,34.74,73.76,34.12,11.7,11.4,1.03,33,54.5
Alabama St.,73.2,77.3,41.7,31.9,69.44,36.22,12.4,13.1,0.95,32,31.2
Alcorn,66.9,80.2,42.05,33.33,70.76,30.16,11.1,13.6,0.82,32,28.1
American,74.6,71.3,44.94,33.33,75.09,31.75,13.4,10.6,1.27,32,50.0
App State,72.0,66.1,44.0,30.35,64.15,39.09,12.1,9.9,1.23,32,59.4
Arizona,86.1,68.8,50.22,36.04,73.39,42.53,16.9,10.8,1.57,34,94.1
Arizona St.,76.3,78.3,44.68,33.42,75.33,33.21,13.7,12.1,1.14,33,51.5
Ark.-Pine Bluff,77.2,81.0,45.09,34.28,75.47,33.62,15.5,13.4,1.16,32,40.6
Arkansas,89.9,80.1,50.0,38.87,74.69,36.09,17.0,9.0,1.89,34,76.5
Arkansas St.,83.0,77.2,45.12,33.26,73.31,41.31,15.8,14.2,1.11,32,62.5
Army West Point,72.2,77.2,41.19,32.44,71.46,35.47,15.0,11.9,1.26,32,34.4
Auburn,82.7,79.4,45.68,33.76,74.35,36.42,12.7,10.2,1.24,33,51.5
Austin Peay,81.6,73.2,46.81,35.86,74.25,35.48,16.2,10.8,1.49,31,71.0
BYU,83.9,75.3,47.71,34.92,74.55,38.29,13.5,10.9,1.24,34,67.6
Ball St.,67.5,69.5,41.98,31.64,69.43,32.29,12.7,10.6,1.19,31,38.7
Baylor,82.5,77.2,47.91,34.51,73.25,36.78,15.8,11.5,1.37,32,50.0
Bellarmine,80.0,81.7,52.1,38.24,79.24,27.88,15.1,10.2,1.48,32,40.6
Belmont,83.9,73.3,51.39,40.39,68.51,35.97,18.6,12.6,1.48,32,81.2
Bethune-Cookman,75.4,76.9,46.62,33.33,68.97,35.78,13.7,13.8,0.99,32,53.1
Binghamton,67.9,74.8,45.89,32.67,74.51,31.26,11.6,12.3,0.95,31,25.8
Boise St.,78.2,73.5,45.26,34.23,78.57,36.06,13.0,11.7,1.11,32,62.5
Boston College,67.4,70.7,40.77,29.39,65.31,36.61,11.3,10.4,1.09,31,35.5
Boston U.,75.4,73.9,49.46,39.33,72.93,32.26,14.3,11.6,1.24,34,50.0
Bowling Green,81.3,71.6,47.6,34.5,73.01,36.03,14.2,11.5,1.23,32,56.2
Bradley,77.6,73.4,43.84,35.53,73.32,34.3,13.4,9.7,1.38,33,63.6
Brown,70.4,70.1,44.37,31.75,68.25,35.04,15.6,12.9,1.21,27,33.3
Bryant,64.8,72.5,40.59,30.42,74.66,33.29,12.1,13.1,0.92,31,29.0
Bucknell,67.4,76.3,41.94,30.64,76.81,31.42,12.7,12.8,0.99,33,30.3
Buffalo,78.0,76.2,47.26,38.26,73.39,31.66,14.5,10.9,1.34,32,53.1
Butler,79.4,77.5,45.19,32.74,71.94,37.78,15.5,11.3,1.37,32,50.0
CSU Bakersfield,73.1,82.2,42.04,28.99,73.51,34.81,11.1,13.6,0.82,32,25.0
CSUN,81.4,79.8,45.42,32.27,66.67,41.38,16.9,13.1,1.28,34,58.8
Cal Poly,82.1,85.0,43.26,33.15,78.67,38.21,13.7,15.2,0.9,33,42.4
Cal St. Fullerton,83.0,81.7,45.1,34.31,71.71,35.35,16.1,11.5,1.4,34,52.9
California,77.9,73.2,44.31,36.06,77.92,34.75,13.7,10.3,1.33,32,65.6
California Baptist,73.0,67.6,43.18,33.7,71.85,39.94,10.3,12.4,0.84,33,75.8
Campbell,79.1,77.6,45.47,32.97,72.57,35.76,12.5,12.4,1.01,34,47.1
Canisius,62.9,70.5,40.09,33.13,71.81,33.45,12.0,12.7,0.95,31,32.3
Central Ark.,80.9,74.7,45.72,35.0,70.91,35.88,16.3,10.9,1.5,34,64.7
Central Conn. St.,73.8,70.9,47.12,36.81,76.92,34.37,13.8,10.6,1.31,30,60.0
Central Mich.,73.4,76.9,46.73,33.11,69.93,32.65,15.1,12.6,1.2,31,32.3
Charleston So.,83.4,80.1,45.73,36.13,64.69,42.03,16.8,13.9,1.2,32,46.9
Charlotte,73.3,74.4,45.59,34.91,71.64,34.53,13.1,11.9,1.09,34,50.0
Chattanooga,76.7,75.2,46.06,35.81,76.69,33.09,15.2,9.6,1.59,32,40.6
Chicago St.,65.8,76.1,40.5,31.84,74.15,31.12,11.7,10.5,1.12,32,21.9
Cincinnati,73.1,67.6,43.1,33.94,68.09,37.3,16.6,11.8,1.41,33,54.5
Clemson,74.1,66.7,45.33,34.11,72.6,34.29,12.8,9.4,1.36,34,70.6
Cleveland St.,79.8,85.9,45.42,37.46,75.28,32.55,15.5,12.8,1.2,33,33.3
Coastal Carolina,73.3,72.6,41.23,33.89,72.9,40.09,10.4,10.8,0.97,32,59.4
Col. of Charleston,75.4,73.4,44.52,29.67,73.22,37.22,13.5,10.7,1.26,32,65.6
Colgate,76.4,74.6,47.93,35.89,74.87,34.09,14.6,10.1,1.44,33,54.5
Colorado,80.0,79.4,46.98,35.31,75.66,34.28,15.7,10.2,1.54,32,53.1
Colorado St.,76.1,71.1,48.88,39.09,77.08,32.18,15.9,11.8,1.34,33,63.6
Columbia,76.6,71.7,47.53,35.52,68.78,39.25,15.8,13.0,1.21,28,57.1
Coppin St.,65.5,80.4,40.88,30.53,67.43,32.55,11.7,15.4,0.76,31,22.6
Cornell,88.5,83.4,49.54,39.26,74.21,35.18,21.3,11.7,1.83,28,53.6
Creighton,75.1,75.0,44.79,34.54,75.96,35.19,15.5,11.3,1.36,32,46.9
Dartmouth,75.8,76.7,44.07,36.12,74.47,35.3,13.9,12.2,1.14,27,40.7
Davidson,71.7,67.4,45.58,35.95,65.33,33.27,13.7,10.4,1.32,33,60.6
Dayton,74.4,69.9,44.62,34.13,75.06,32.88,14.3,12.0,1.2,34,67.6
DePaul,70.2,69.6,43.49,32.53,69.17,33.25,15.0,12.0,1.25,32,50.0
Delaware,67.7,74.0,44.53,36.02,78.79,30.55,12.1,12.0,1.01,31,32.3
Delaware St.,61.2,70.5,39.8,29.59,68.9,31.19,10.6,13.2,0.8,31,25.8
Denver,82.8,82.8,48.01,37.99,77.26,33.97,11.6,9.8,1.18,32,46.9
Detroit Mercy,77.2,77.3,44.46,34.83,77.53,37.59,13.1,11.3,1.15,32,53.1
Drake,75.1,74.8,44.25,34.18,71.92,35.35,13.5,10.2,1.32,34,41.2
Drexel,68.1,67.3,43.77,35.01,66.14,35.21,13.3,12.5,1.06,33,51.5
Duke,82.3,63.1,48.99,35.07,72.4,40.29,16.9,10.5,1.61,34,94.1
Duquesne,78.3,75.2,45.87,33.65,71.45,35.09,15.1,12.5,1.21,33,54.5
ETSU,77.6,69.3,48.82,34.24,74.36,33.71,14.1,10.2,1.39,34,67.6
East Carolina,71.5,77.5,41.88,28.82,70.4,36.55,11.8,12.2,0.96,31,35.5
East Texas A&M,70.2,74.5,43.31,32.27,67.72,33.09,16.1,12.9,1.24,32,34.4
Eastern Ill.,67.1,70.3,42.76,32.32,73.5,32.82,12.2,12.5,0.98,33,39.4
Eastern Ky.,80.2,81.8,43.7,35.36,72.52,36.03,14.6,11.8,1.24,32,34.4
Eastern Mich.,70.7,73.5,44.57,32.18,72.85,35.48,12.6,11.9,1.06,31,32.3
Eastern Wash.,78.1,79.0,47.65,35.83,74.31,32.27,13.6,12.2,1.11,33,42.4
Elon,78.1,77.9,45.09,34.29,72.2,35.5,14.8,10.8,1.37,32,43.8
Evansville,67.0,76.5,42.8,32.77,73.09,31.34,13.1,12.9,1.02,32,21.9
FDU,67.2,70.2,41.26,30.98,70.59,35.31,12.1,11.8,1.02,32,34.4
FGCU,77.4,76.4,45.4,32.41,71.88,36.91,14.7,11.0,1.34,34,47.1
FIU,80.6,77.9,45.67,35.09,68.86,37.94,14.8,13.0,1.14,32,46.9
Fairfield,74.4,71.5,43.1,33.55,71.04,38.47,12.2,10.2,1.2,34,61.8
Fla. Atlantic,78.7,74.3,46.12,33.21,71.02,38.76,13.2,12.3,1.07,33,54.5
Florida,86.8,72.0,47.81,30.8,70.96,45.42,16.6,11.9,1.39,33,78.8
Florida A&M,70.4,74.6,43.54,32.57,69.74,34.16,12.8,15.1,0.85,31,48.4
Florida St.,80.4,77.9,43.95,33.08,71.31,35.33,14.3,10.9,1.31,33,54.5
Fordham,69.8,65.5,44.0,29.37,69.65,38.34,14.3,11.4,1.26,32,53.1
Fresno St.,72.8,72.8,44.5,32.03,74.48,34.47,12.8,12.7,1.01,32,40.6
Furman,76.5,70.5,47.58,32.72,69.02,37.97,15.6,11.9,1.31,34,64.7
Ga. Southern,80.9,79.7,43.76,33.67,74.49,34.14,11.2,10.4,1.07,37,56.8
Gardner-Webb,68.1,85.5,42.75,30.88,68.44,30.7,10.2,13.6,0.74,33,12.1
George Mason,73.3,67.5,47.48,34.11,72.84,34.84,12.7,10.6,1.19,32,71.9
George Washington,82.1,73.7,46.66,35.19,71.83,37.73,15.7,12.7,1.24,33,54.5
Georgetown,73.6,72.9,44.04,31.84,74.01,35.65,14.8,10.7,1.38,34,47.1
Georgia,89.8,79.2,47.11,34.09,75.35,38.19,14.9,10.7,1.4,32,68.8
Georgia St.,70.4,74.7,38.36,31.82,78.35,35.09,11.6,10.9,1.07,32,31.2
Georgia Tech,73.8,77.4,44.19,35.07,71.1,37.06,15.8,13.4,1.18,31,35.5
Gonzaga,85.1,66.0,51.0,33.95,69.89,39.91,18.3,9.7,1.9,33,90.9
Grambling,70.3,70.1,42.99,31.83,73.22,33.55,12.0,14.6,0.82,33,42.4
Grand Canyon,75.6,68.7,45.49,31.82,75.35,36.19,12.8,12.2,1.05,32,62.5
Green Bay,74.8,74.8,48.56,36.18,76.56,31.3,13.9,10.5,1.33,33,54.5
Hampton,69.9,70.8,41.42,29.41,71.68,36.06,12.1,11.2,1.08,32,40.6
Harvard,70.1,66.7,46.29,34.64,79.86,32.28,14.1,11.1,1.26,29,58.6
Hawaii,79.6,69.7,45.94,31.51,74.06,39.28,13.7,13.5,1.02,32,75.0
High Point,90.0,70.3,49.14,35.56,74.31,36.38,16.3,9.4,1.74,34,88.2
Hofstra,75.6,66.1,44.19,36.76,74.65,39.26,12.8,10.6,1.21,34,70.6
Holy Cross,68.2,73.3,43.59,32.06,75.6,31.24,10.8,10.2,1.07,33,33.3
Houston,77.1,62.9,44.97,34.93,77.17,36.59,14.7,8.5,1.73,34,82.4
Houston Christian,67.1,72.2,44.04,30.89,69.7,31.91,13.9,12.4,1.12,32,37.5
Howard,77.5,67.8,45.87,34.54,73.07,36.58,16.2,13.5,1.2,33,69.7
IU Indy,83.5,88.3,45.96,32.56,72.75,32.41,20.2,12.0,1.69,32,21.9
Idaho,78.7,72.6,44.83,35.58,73.49,37.4,12.5,10.6,1.19,35,60.0
Idaho St.,74.5,76.2,45.22,32.99,73.8,33.27,11.9,11.1,1.07,33,39.4
Illinois,84.4,69.8,46.27,34.69,78.87,40.66,14.7,8.9,1.65,32,75.0
Illinois St.,75.1,68.4,46.67,35.21,70.17,35.69,13.5,11.3,1.19,32,62.5
Indiana,78.2,72.2,47.35,34.66,77.99,32.41,16.6,10.2,1.63,32,56.2
Indiana St.,73.6,74.5,46.46,31.9,67.62,35.06,17.5,13.7,1.28,32,34.4
Iona,73.8,73.1,43.81,35.13,70.68,35.59,14.0,12.0,1.16,32,56.2
Iowa,75.2,66.0,49.13,35.72,77.0,29.42,15.3,9.7,1.58,33,63.6
Iowa St.,81.8,65.1,48.97,38.66,67.24,35.62,17.2,10.3,1.68,34,79.4
Jackson St.,70.2,83.8,38.89,31.38,75.83,34.0,10.5,13.9,0.75,33,36.4
Jacksonville,73.1,73.4,45.48,32.66,71.75,33.91,12.1,11.2,1.08,32,37.5
Jacksonville St.,72.7,68.4,43.86,35.83,68.52,36.75,12.1,11.4,1.05,32,46.9
James Madison,74.5,73.8,45.52,34.8,70.58,36.73,12.5,11.7,1.07,33,54.5
Kansas,75.6,69.4,45.33,34.96,76.69,38.85,14.3,10.7,1.34,33,69.7
Kansas City,69.3,83.9,41.24,30.06,67.64,33.35,11.9,13.1,0.9,31,12.9
Kansas St.,79.6,81.8,45.85,36.43,70.96,34.0,16.8,12.9,1.3,32,37.5
Kennesaw St.,83.4,76.1,44.63,34.97,69.06,40.32,14.3,11.9,1.2,34,61.8
Kent St.,85.1,79.6,45.15,35.75,74.2,39.64,16.0,13.2,1.22,33,72.7
Kentucky,80.8,73.8,46.43,34.12,72.76,37.5,16.0,10.5,1.52,34,61.8
LIU,74.1,71.1,48.07,36.12,66.77,35.0,13.6,13.0,1.05,34,70.6
LMU (CA),74.2,72.1,45.84,34.95,70.45,34.0,13.2,12.0,1.1,32,46.9
LSU,81.4,78.5,47.11,33.08,76.38,36.88,14.7,11.0,1.34,32,46.9
La Salle,67.1,74.1,40.98,29.84,72.39,35.06,13.0,12.1,1.07,32,28.1
Lafayette,69.4,74.4,42.79,32.11,69.01,33.09,13.6,10.4,1.31,32,34.4
Lamar University,69.9,69.1,42.94,32.92,70.16,37.26,14.5,12.0,1.21,31,38.7
Lehigh,73.2,74.0,46.41,35.94,73.1,31.85,14.3,12.1,1.18,34,52.9
Liberty,78.2,70.4,51.38,39.81,70.47,29.09,17.2,8.8,1.95,32,78.1
Lindenwood,77.8,72.7,45.33,30.84,67.98,39.24,14.5,13.5,1.07,33,54.5
Lipscomb,79.7,75.7,46.17,36.21,75.39,34.59,18.0,11.3,1.6,32,59.4
Little Rock,70.5,74.1,44.59,35.56,67.48,33.84,14.0,12.8,1.1,32,37.5
Long Beach St.,74.9,77.8,45.68,33.13,72.63,33.22,13.1,12.8,1.02,32,31.2
Longwood,77.7,74.1,45.94,31.53,73.99,37.19,12.7,13.9,0.91,32,50.0
Louisiana,63.7,70.7,40.31,33.65,70.4,30.33,10.3,10.8,0.96,33,33.3
Louisiana Tech,69.9,65.0,44.11,29.91,66.72,38.5,12.6,12.2,1.04,34,58.8
Louisville,84.7,72.2,47.02,35.68,76.89,38.45,17.1,11.6,1.47,33,69.7
Loyola Chicago,66.8,75.8,42.24,31.7,67.26,34.12,13.9,13.1,1.07,33,27.3
Loyola Maryland,75.2,77.1,43.39,33.37,70.17,35.19,13.2,10.9,1.21,32,37.5
Maine,62.5,68.4,44.5,31.89,64.12,28.03,12.3,12.4,0.99,32,25.0
Manhattan,74.0,78.9,42.59,32.44,79.48,33.16,12.8,10.7,1.21,32,37.5
Marist,69.7,63.8,44.14,32.8,78.34,35.87,15.3,11.2,1.36,31,61.3
Marquette,75.2,75.8,43.81,31.67,67.5,34.22,15.5,11.4,1.37,32,37.5
Marshall,81.1,78.0,46.94,36.76,73.17,36.81,16.6,11.7,1.43,32,59.4
Maryland,69.7,76.6,40.68,31.7,72.18,35.39,10.5,12.4,0.84,33,36.4
Massachusetts,80.2,77.6,46.92,34.64,67.21,37.48,17.0,13.0,1.31,33,51.5
McNeese,80.0,66.5,46.75,31.93,74.74,35.21,14.2,9.6,1.47,33,84.8
Memphis,75.2,76.6,43.39,31.57,72.14,36.84,13.3,13.6,0.98,32,40.6
Mercer,82.7,75.5,46.26,34.87,72.33,37.62,13.8,10.4,1.32,32,59.4
Merrimack,68.5,66.5,41.57,32.74,78.79,28.68,12.4,9.6,1.3,34,67.6
Miami (FL),81.9,71.1,50.1,34.72,68.51,37.3,16.1,11.2,1.44,33,75.8
Miami (OH),90.7,75.3,52.44,39.16,74.87,35.47,16.1,10.5,1.54,32,96.9
Michigan,86.8,69.2,50.54,36.02,74.71,39.97,18.5,12.0,1.54,34,91.2
Michigan St.,78.9,68.4,47.07,35.92,76.25,39.84,18.5,11.5,1.61,32,78.1
Middle Tenn.,75.4,72.8,44.45,34.02,70.23,36.22,14.2,11.5,1.24,32,53.1
Milwaukee,76.2,79.6,44.4,32.26,68.97,36.03,13.3,10.4,1.28,32,37.5
Minnesota,70.0,68.5,46.01,34.77,69.98,31.03,17.4,10.6,1.64,32,46.9
Mississippi St.,77.6,81.8,44.99,32.39,66.02,38.22,12.8,11.6,1.1,32,40.6
Mississippi Val.,64.2,83.0,41.09,30.04,71.41,30.52,12.2,15.4,0.79,33,9.1
Missouri,79.7,75.3,49.04,35.01,68.6,35.59,14.1,12.4,1.14,32,62.5
Missouri St.,75.0,73.6,45.01,32.91,67.69,34.59,14.5,11.1,1.3,34,47.1
Monmouth,72.7,70.9,43.93,34.41,74.65,35.0,13.9,11.4,1.22,34,55.9
Montana,77.3,74.6,48.95,35.78,76.96,34.38,14.8,13.7,1.08,34,52.9
Montana St.,77.9,71.4,46.65,37.12,74.47,33.09,11.4,10.0,1.14,32,56.2
Morehead St.,75.3,74.7,46.16,33.28,73.35,36.03,13.4,11.8,1.14,33,60.6
Morgan St.,75.3,78.2,42.4,33.07,74.19,34.93,13.2,12.6,1.05,30,46.7
Mount St. Mary's,68.1,70.1,43.8,32.5,67.07,37.09,13.6,15.2,0.9,32,46.9
Murray St.,83.3,79.9,45.96,34.79,75.69,36.44,13.8,11.7,1.18,32,62.5
N.C. A&T,75.1,77.8,46.05,31.68,71.62,36.93,11.9,12.8,0.93,30,36.7
N.C. Central,71.8,75.5,43.94,32.84,72.79,31.53,13.6,12.2,1.12,32,43.8
NC State,83.7,76.5,46.81,38.82,76.77,34.52,15.6,9.2,1.69,33,60.6
NIU,69.5,77.8,41.57,31.2,66.41,34.67,12.5,14.9,0.84,30,30.0
NJIT,67.0,73.2,40.57,30.26,70.65,34.48,10.8,11.6,0.93,33,48.5
Navy,74.7,63.8,47.61,35.99,73.48,36.61,16.3,11.3,1.44,33,78.8
Nebraska,77.3,66.2,46.5,35.25,75.0,34.91,18.0,9.8,1.84,32,81.2
