team,stats_team,region,seed,slot,play_in,play_in_group,games,win_pct,ppg,opp_ppg,scoring_margin,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,srs,sos,pace,off_rtg,ts_pct,trb_pct,ast_pct,efg_pct,tov_pct,orb_pct,power_rating
Duke,Duke,East,1,R64_E1,False,,34,94.1,82.3,63.1,19.199999999999996,48.99,35.07,72.4,40.29,16.9,10.5,1.61,31.55,12.41,67.1,122.6,59.699999999999996,57.8,59.2,56.8,13.3,38.1,120.16830702907106
UConn,UConn,East,2,R64_E8,False,,34,85.3,77.5,65.1,12.400000000000006,48.24,35.2,71.57,36.56,18.4,11.2,1.64,22.92,10.53,66.0,116.5,57.8,54.2,65.0,55.300000000000004,14.3,35.7,107.15265124159689
Michigan State,Michigan St.,East,3,R64_E6,False,,32,78.1,78.9,68.4,10.5,47.07,35.92,76.25,39.84,18.5,11.5,1.61,23.44,12.91,66.8,117.3,57.49999999999999,58.5,67.0,53.6,14.4,38.5,106.8070405827848
Kansas,Kansas,East,4,R64_E4,False,,33,69.7,75.6,69.4,6.199999999999989,45.33,34.96,76.69,38.85,14.3,10.7,1.34,21.1,14.86,68.2,110.0,55.50000000000001,51.5,53.3,51.6,13.5,29.5,94.95014818097005
St. John's,St. John's (NY),East,5,R64_E3,False,,34,82.4,81.6,70.0,11.599999999999994,45.39,33.24,72.75,38.65,16.3,10.5,1.55,22.42,10.83,71.0,114.5,55.2,52.9,58.2,51.0,12.4,35.9,103.47030631062349
Louisville,Louisville,East,6,R64_E5,False,,33,69.7,84.7,72.2,12.5,47.02,35.68,76.89,38.45,17.1,11.6,1.47,23.41,10.83,71.0,119.4,59.9,53.7,59.5,56.39999999999999,14.1,32.9,107.25847506417941
UCLA,UCLA,East,7,R64_E7,False,,34,67.6,77.7,71.0,6.700000000000003,47.08,38.2,76.68,32.29,16.3,8.9,1.84,18.28,11.55,65.7,117.0,57.599999999999994,49.6,59.4,53.900000000000006,11.6,31.1,101.75661928540227
Ohio State,Ohio St.,East,8,R64_E2,False,,33,63.6,79.8,72.8,7.0,49.3,36.03,77.54,33.24,14.4,10.4,1.38,19.06,12.06,66.5,118.6,60.3,51.6,52.0,56.49999999999999,13.6,30.8,100.45642669677086
TCU,TCU,East,9,R64_E2,False,,33,66.7,78.3,72.1,6.200000000000003,44.8,33.11,70.8,36.18,15.6,10.9,1.43,15.75,9.51,69.7,111.1,54.6,51.9,57.6,50.9,13.2,34.4,92.45212481490437
UCF,UCF,East,10,R64_E7,False,,32,65.6,81.0,78.5,2.5,46.6,36.17,73.95,37.19,15.8,11.2,1.41,13.3,10.8,70.6,113.7,56.00000000000001,52.6,53.6,52.800000000000004,13.4,34.4,92.46188584628234
South Florida,South Fla.,East,11,R64_E5,False,,33,75.8,87.7,75.5,12.200000000000003,43.89,33.19,74.38,42.73,17.2,11.2,1.54,13.29,2.6,73.1,117.7,55.60000000000001,53.1,59.3,51.2,12.4,38.0,101.85299313428709
